zip,tier,score,rank,town,state
10507,Pass,39.49,735,,
10923,Pass,39.41,736,,
07023,Pass,39.32,737,Fanwood,NJ
11803,Pass,39.24,738,,
11023,Pass,39.16,739,Great Neck Estates Village,NY
07405,Pass,39.08,740,Butler,NJ
08857,Pass,38.99,741,Old Bridge Township,NJ
07933,Pass,38.91,742,,
10914,Pass,38.83,743,Blooming Grove Town,NY
11385,Pass,38.75,744,,
07724,Pass,38.66,745,Eatontown,NJ
08830,Pass,38.58,746,,
11566,Pass,38.50,747,,
19437,Pass,38.42,748,,
11804,Pass,38.33,749,,
07980,Pass,38.25,750,,
11239,Pass,38.17,751,,
11210,Pass,38.09,752,,
08037,Pass,38.00,753,Hammonton,NJ
11363,Pass,37.92,754,,
11710,Pass,37.84,755,,
07657,Pass,37.76,756,Ridgefield,NJ
10304,Pass,37.68,757,,
08225,Pass,37.59,758,Northfield,NJ
07945,Pass,37.51,759,Mendham,NJ
11777,Pass,37.43,760,,
19506,Pass,37.35,761,,
08886,Pass,37.26,762,,
10913,Pass,37.18,763,,
07450,Pass,37.10,764,Ridgewood,NJ
07073,Pass,37.02,765,East Rutherford,NJ
07642,Pass,36.93,766,Hillsdale,NJ
07076,Pass,36.85,767,Scotch Plains Township,NJ
11223,Pass,36.77,768,,
07647,Pass,36.69,769,Northvale,NJ
08560,Pass,36.60,770,,
11786,Pass,36.52,771,,
07047,Pass,36.44,772,North Bergen Township,NJ
11432,Pass,36.36,773,,
11516,Pass,36.27,774,,
07676,Pass,36.19,775,Washington,NJ
11554,Pass,36.11,776,,
07924,Pass,36.03,777,Bernardsville,NJ
07738,Pass,35.94,778,,
11548,Pass,35.86,779,Greenville,NY
08854,Pass,35.78,780,Piscataway Township,NJ
07481,Pass,35.70,781,Wyckoff Township,NJ
11788,Pass,35.61,782,,
07981,Pass,35.53,783,,
07043,Pass,35.45,784,Montclair,NJ
11514,Pass,35.37,785,,
08852,Pass,35.28,786,,
11249,Pass,35.20,787,,
19520,Pass,35.12,788,,
08003,Pass,35.04,789,Cherry Hill Township,NJ
07203,Pass,34.95,790,Roselle,NJ
19021,Pass,34.87,791,,
08824,Pass,34.79,792,,
11216,Pass,34.71,793,,
08091,Pass,34.62,794,,
10901,Pass,34.54,795,,
08502,Pass,34.46,796,,
11731,Pass,34.38,797,,
08031,Pass,34.30,798,Bellmawr,NJ
08876,Pass,34.21,799,Somerville,NJ
07631,Pass,34.13,800,Englewood,NJ
08628,Pass,34.05,801,Trenton,NJ
19055,Pass,33.97,802,,
19066,Pass,33.88,803,,
11793,Pass,33.80,804,,
19114,Pass,33.72,805,,
08077,Pass,33.64,806,Riverton,NJ
19008,Pass,33.55,807,,
07069,Pass,33.47,808,Watchung,NJ
07430,Pass,33.39,809,Mahwah Township,NJ
08036,Pass,33.31,810,,
19053,Pass,33.22,811,,
11545,Pass,33.14,812,,
07722,Pass,33.06,813,Colts Neck Township,NJ
19465,Pass,32.98,814,Pottstown,PA
11365,Pass,32.89,815,,
07463,Pass,32.81,816,Waldwick,NJ
19525,Pass,32.73,817,,
19507,Pass,32.65,818,,
08620,Pass,32.56,819,Trenton,NJ
11021,Pass,32.48,820,Great Neck Estates Village,NY
07605,Pass,32.40,821,Leonia,NJ
11753,Pass,32.32,822,,
07645,Pass,32.23,823,Montvale,NJ
11101,Pass,32.15,824,,
07004,Pass,32.07,825,Garfield,NJ
19122,Pass,31.99,826,,
08085,Pass,31.90,827,Swedesboro,NJ
11746,Pass,31.82,828,,
07974,Pass,31.74,829,New Providence,NJ
11024,Pass,31.66,830,Great Neck Estates Village,NY
19456,Pass,31.57,831,,
07401,Pass,31.49,832,Allendale,NJ
07011,Pass,31.41,833,Clifton,NJ
08029,Pass,31.33,834,,
08032,Pass,31.24,835,,
07624,Pass,31.16,836,Closter,NJ
08361,Pass,31.08,837,Vineland,NJ
19567,Pass,31.00,838,Womelsdorf,PA
10607,Pass,30.92,839,,
07202,Pass,30.83,840,Elizabeth,NJ
08515,Pass,30.75,841,Chesterfield Township,NJ
19372,Pass,30.67,842,,
07675,Pass,30.59,843,Westwood,NJ
19539,Pass,30.50,844,,
08096,Pass,30.42,845,Deptford Township,NJ
19064,Pass,30.34,846,,
11714,Pass,30.26,847,,
08534,Pass,30.17,848,Pennington,NJ
11783,Pass,30.09,849,,
10984,Pass,30.01,850,,
08816,Pass,29.93,851,East Brunswick Township,NJ
07006,Pass,29.84,852,Caldwell,NJ
11791,Pass,29.76,853,,
19075,Pass,29.68,854,,
08088,Pass,29.60,855,,
11740,Pass,29.51,856,,
08618,Pass,29.43,857,Trenton,NJ
08302,Pass,29.35,858,Bridgeton,NJ
10530,Pass,29.27,859,,
19425,Pass,29.18,860,,
19503,Pass,29.10,861,,
08859,Pass,29.02,862,,
19540,Pass,28.94,863,,
11379,Pass,28.85,864,Middleport Village,NY
10009,Pass,28.77,865,New York,NY
19363,Pass,28.69,866,,
11237,Pass,28.61,867,,
10801,Pass,28.52,868,New Rochelle,NY
08807,Pass,28.44,869,Bridgewater Township,NJ
08638,Pass,28.36,870,Trenton,NJ
19362,Pass,28.28,871,,
07068,Pass,28.19,872,Roseland,NJ
10039,Pass,28.11,873,New York,NY
19018,Pass,28.03,874,,
07012,Pass,27.95,875,Clifton,NJ
19086,Pass,27.86,876,,
11771,Pass,27.78,877,Oyster Bay Cove Village,NY
10606,Pass,27.70,878,,
10707,Pass,27.62,879,Tuckahoe Village,NY
08512,Pass,27.54,880,Cranbury Township,NJ
10970,Pass,27.45,881,,
10710,Pass,27.37,882,Yonkers,NY
07751,Pass,27.29,883,Manville,NJ
08822,Pass,27.21,884,Flemington,NJ
07648,Pass,27.12,885,Norwood,NJ
08817,Pass,27.04,886,Edison Township,NJ
07044,Pass,26.96,887,Verona,NJ
08041,Pass,26.88,888,,
19057,Pass,26.79,889,,
19606,Pass,26.71,890,,
07656,Pass,26.63,891,Park Ridge,NJ
19310,Pass,26.55,892,,
11559,Pass,26.46,893,,
08057,Pass,26.38,894,Moorestown Township,NJ
07036,Pass,26.30,895,Linden,NJ
10035,Pass,26.22,896,New York,NY
11020,Pass,26.13,897,Great Neck Estates Village,NY
07652,Pass,26.05,898,Paramus,NJ
08010,Pass,25.97,899,Beverly,NJ
07661,Pass,25.89,900,River Edge,NJ
11797,Pass,25.80,901,Woodbury Town,NY
11596,Pass,25.72,902,,
19512,Pass,25.64,903,,
11560,Pass,25.56,904,,
07712,Pass,25.47,905,Asbury Park,NJ
19560,Pass,25.39,906,,
07646,Pass,25.31,907,New Milford,NJ
19608,Pass,25.23,908,,
19154,Pass,25.14,909,,
07716,Pass,25.06,910,Atlantic Highlands,NJ
19127,Pass,24.98,911,,
10027,Pass,24.90,912,New York,NY
08353,Pass,24.81,913,,
07677,Pass,24.73,914,Woodcliff Lake,NJ
11801,Pass,24.65,915,,
10594,Pass,24.57,916,,
07726,Pass,24.48,917,Englishtown,NJ
10538,Pass,24.40,918,Larchmont Village,NY
08035,Pass,24.32,919,Haddon Heights,NJ
11755,Pass,24.24,920,,
11787,Pass,24.15,921,,
08055,Pass,24.07,922,Medford Township,NJ
08527,Pass,23.99,923,Jackson Township,NJ
07704,Pass,23.91,924,Fair Haven,NJ
08019,Pass,23.83,925,Haworth,NJ
07739,Pass,23.74,926,Little Silver,NJ
07307,Pass,23.66,927,Jersey City,NJ
10918,Pass,23.58,928,Chester Town,NY
11218,Pass,23.50,929,,
08520,Pass,23.41,930,Hightstown,NJ
10605,Pass,23.33,931,,
07630,Pass,23.25,932,Emerson,NJ
10962,Pass,23.17,933,,
08020,Pass,23.08,934,,
11762,Pass,23.00,935,,
08201,Pass,22.92,936,Absecon,NJ
11547,Pass,22.84,937,,
07748,Pass,22.75,938,Middletown Township,NJ
08009,Pass,22.67,939,Berlin,NJ
19041,Pass,22.59,940,,
07508,Pass,22.51,941,Haledon,NJ
19541,Pass,22.42,942,,
08061,Pass,22.34,943,,
08837,Pass,22.26,944,Edison Township,NJ
07009,Pass,22.18,945,Cedar Grove Township,NJ
07458,Pass,22.09,946,Saddle River,NJ
19505,Pass,22.01,947,,
08510,Pass,21.93,948,Milltown,NJ
07065,Pass,21.85,949,Rahway,NJ
19444,Pass,21.76,950,,
10029,Pass,21.68,951,New York,NY
19025,Pass,21.60,952,,
07934,Pass,21.52,953,,
19319,Pass,21.43,954,,
07640,Pass,21.35,955,Harrington Park,NJ
08007,Pass,21.27,956,Barrington,NJ
11758,Pass,21.19,957,,
11222,Pass,21.10,958,,
07092,Pass,21.02,959,Mountainside,NJ
19464,Pass,20.94,960,Pottstown,PA
19555,Pass,20.86,961,,
11705,Pass,20.77,962,,
07027,Pass,20.69,963,Garwood,NJ
10026,Pass,20.61,964,New York,NY
11766,Pass,20.53,965,,
11040,Pass,20.45,966,,
19611,Pass,20.36,967,,
07927,Pass,20.28,968,,
10549,Pass,20.20,969,,
07052,Pass,20.12,970,West Orange,NJ
08742,Pass,20.03,971,Point Pleasant Beach,NJ
08619,Pass,19.95,972,Trenton,NJ
11552,Pass,19.87,973,,
19152,Pass,19.79,974,,
19054,Pass,19.70,975,,
11732,Pass,19.62,976,,
19320,Pass,19.54,977,,
08902,Pass,19.46,978,North Brunswick Township,NJ
08340,Pass,19.37,979,,
07071,Pass,19.29,980,Lyndhurst Township,NJ
08075,Pass,19.21,981,Riverside Township,NJ
19312,Pass,19.13,982,,
19373,Pass,19.04,983,,
10510,Pass,18.96,984,Briarcliff Manor Village,NY
07626,Pass,18.88,985,Cresskill,NJ
11590,Pass,18.80,986,,
19492,Pass,18.71,987,,
11576,Pass,18.63,988,,
08511,Pass,18.55,989,,
10708,Pass,18.47,990,Bronxville Village,NY
07066,Pass,18.38,991,Clark Township,NJ
11211,Pass,18.30,992,,
10012,Pass,18.22,993,New York,NY
07045,Pass,18.14,994,Montville Township,NJ
07731,Pass,18.05,995,Howell Township,NJ
07702,Pass,17.97,996,Shrewsbury,NJ
19038,Pass,17.89,997,,
07058,Pass,17.81,998,,
08056,Pass,17.72,999,,
07869,Pass,17.64,1000,Randolph Township,NJ
19609,Pass,17.56,1001,,
11375,Pass,17.48,1002,,
07075,Pass,17.39,1003,Wood-Ridge,NJ
19031,Pass,17.31,1004,,
19518,Pass,17.23,1005,,
11238,Pass,17.15,1006,,
19061,Pass,17.07,1007,,
19311,Pass,16.98,1008,,
07016,Pass,16.90,1009,Cranford Township,NJ
07920,Pass,16.82,1010,,
07432,Pass,16.74,1011,Midland Park,NJ
19060,Pass,16.65,1012,,
08360,Pass,16.57,1013,Vineland,NJ
11955,Pass,16.49,1014,,
19438,Pass,16.41,1015,,
08081,Pass,16.32,1016,,
10803,Pass,16.24,1017,Pelham Village,NY
19526,Pass,16.16,1018,,
07701,Pass,16.08,1019,Red Bank,NJ
07728,Pass,15.99,1020,Freehold Borough,NJ
19562,Pass,15.91,1021,,
11598,Pass,15.83,1022,,
11530,Pass,15.75,1023,Garden City Village,NY
19565,Pass,15.66,1024,,
19090,Pass,15.58,1025,,
08016,Pass,15.50,1026,Burlington Township,NJ
19030,Pass,15.42,1027,,
07882,Pass,15.33,1028,Washington,NJ
19401,Pass,15.25,1029,Norristown,PA
19551,Pass,15.17,1030,,
10969,Pass,15.09,1031,,
19044,Pass,15.00,1032,,
10021,Pass,14.92,1033,New York,NY
19035,Pass,14.84,1034,,
19510,Pass,14.76,1035,,
07055,Pass,14.67,1036,Passaic,NJ
19343,Pass,14.59,1037,,
07650,Pass,14.51,1038,Palisades Park,NJ
19026,Pass,14.43,1039,,
07040,Pass,14.34,1040,Maplewood Township,NJ
19095,Pass,14.26,1041,,
10919,Pass,14.18,1042,,
08840,Pass,14.10,1043,Metuchen,NJ
10994,Pass,14.01,1044,,
07936,Pass,13.93,1045,East Hanover Township,NJ
10002,Pass,13.85,1046,New York,NY
07940,Pass,13.77,1047,Madison,NJ
11230,Pass,13.69,1048,,
10924,Pass,13.60,1049,Goshen Town,NY
19083,Pass,13.52,1050,,
11561,Pass,13.44,1051,Long Beach,NY
10280,Pass,13.36,1052,New York,NY
07747,Pass,13.27,1053,Matawan,NJ
19072,Pass,13.19,1054,,
19522,Pass,13.11,1055,,
19533,Pass,13.03,1056,,
08022,Pass,12.94,1057,,
07976,Pass,12.86,1058,,
07932,Pass,12.78,1059,Florham Park,NJ
07081,Pass,12.70,1060,,
11215,Pass,12.61,1061,,
07410,Pass,12.53,1062,Fair Lawn,NJ
19056,Pass,12.45,1063,,
07039,Pass,12.37,1064,Livingston Township,NJ
08048,Pass,12.28,1065,Lumberton Township,NJ
10022,Pass,12.20,1066,New York,NY
07627,Pass,12.12,1067,Demarest,NJ
08536,Pass,12.04,1068,Plainsboro Township,NJ
07901,Pass,11.95,1069,Summit,NJ
10573,Pass,11.87,1070,Port Chester Village,NY
07740,Pass,11.79,1071,Long Branch,NJ
07928,Pass,11.71,1072,Chatham,NJ
10990,Pass,11.62,1073,,
19125,Pass,11.54,1074,,
07960,Pass,11.46,1075,Morristown,NJ
10044,Pass,11.38,1076,New York,NY
08080,Pass,11.29,1077,,
07070,Pass,11.21,1078,Rutherford,NJ
10006,Pass,11.13,1079,New York,NY
11217,Pass,11.05,1080,,
08820,Pass,10.96,1081,Edison Township,NJ
07090,Pass,10.88,1082,Westfield,NJ
19116,Pass,10.80,1083,,
07823,Pass,10.72,1084,Belvidere,NJ
19342,Pass,10.63,1085,,
10706,Pass,10.55,1086,Hastings-on-Hudson Village,NY
19454,Pass,10.47,1087,,
10505,Pass,10.39,1088,,
19403,Pass,10.31,1089,Norristown,PA
19129,Pass,10.22,1090,,
08550,Pass,10.14,1091,,
08690,Pass,10.06,1092,Trenton,NJ
19610,Pass,9.98,1093,,
10013,Pass,9.89,1094,New York,NY
19146,Pass,9.81,1095,,
08865,Pass,9.73,1096,Phillipsburg,NJ
19128,Pass,9.65,1097,,
08106,Pass,9.56,1098,Audubon,NJ
10522,Pass,9.48,1099,Dobbs Ferry Village,NY
10922,Pass,9.40,1100,,
07078,Pass,9.32,1101,,
10065,Pass,9.23,1102,New York,NY
10591,Pass,9.15,1103,Tarrytown Village,NY
07670,Pass,9.07,1104,Tenafly,NJ
19440,Pass,8.99,1105,,
19119,Pass,8.90,1106,,
07054,Pass,8.82,1107,Parsippany-Troy Hills Township,NJ
19428,Pass,8.74,1108,West Conshohocken,PA
08028,Pass,8.66,1109,Glassboro,NJ
11570,Pass,8.57,1110,Rockville Centre Village,NY
08691,Pass,8.49,1111,Trenton,NJ
08107,Pass,8.41,1112,Oaklyn,NJ
07310,Pass,8.33,1113,Jersey City,NJ
10950,Pass,8.24,1114,Monroe Village,NY
19317,Pass,8.16,1115,,
10543,Pass,8.08,1116,Mamaroneck Town,NY
07079,Pass,8.00,1117,South Orange Village,NJ
11050,Pass,7.91,1118,Port Washington,NY
19107,Pass,7.83,1119,,
07042,Pass,7.75,1120,Montclair,NJ
19147,Pass,7.67,1121,,
08021,Pass,7.58,1122,Clementon,NJ
11209,Pass,7.50,1123,,
19003,Pass,7.42,1124,,
19301,Pass,7.34,1125,,
19046,Pass,7.25,1126,,
10017,Pass,7.17,1127,New York,NY
19027,Pass,7.09,1128,,
07470,Pass,7.01,1129,Wayne Township,NJ
10128,Pass,6.92,1130,New York,NY
10583,Pass,6.84,1131,Scarsdale Village,NY
19067,Pass,6.76,1132,,
07840,Pass,6.68,1133,Hackettstown,NJ
19073,Pass,6.60,1134,,
08648,Pass,6.51,1135,,
19006,Pass,6.43,1136,,
19422,Pass,6.35,1137,,
11231,Pass,6.27,1138,,
10028,Pass,6.18,1139,New York,NY
08012,Pass,6.10,1140,Lakewood Township,NJ
19426,Pass,6.02,1141,Collegeville,PA
19063,Pass,5.94,1142,,
10019,Pass,5.85,1143,New York,NY
10454,Pass,5.77,1144,,
10075,Pass,5.69,1145,New York,NY
19115,Pass,5.61,1146,,
19020,Pass,5.52,1147,,
10024,Pass,5.44,1148,New York,NY
10016,Pass,5.36,1149,New York,NY
10604,Pass,5.28,1150,,
10940,Pass,5.19,1151,Middletown,NY
19406,Pass,5.11,1152,,
11542,Pass,5.03,1153,Glen Cove,NY
10069,Pass,4.95,1154,New York,NY
07666,Pass,4.86,1155,Teaneck Township,NJ
10007,Pass,4.78,1156,New York,NY
07020,Pass,4.70,1157,Edgewater,NJ
10580,Pass,4.62,1158,Rye,NY
11206,Pass,4.53,1159,,
10282,Pass,4.45,1160,New York,NY
08060,Pass,4.37,1161,Mount Holly Township,NJ
08002,Pass,4.29,1162,Cherry Hill Township,NJ
10004,Pass,4.20,1163,New York,NY
11501,Pass,4.12,1164,,
19002,Pass,4.04,1165,,
19468,Pass,3.96,1166,Royersford,PA
07302,Pass,3.87,1167,Jersey City,NJ
19096,Pass,3.79,1168,,
10011,Pass,3.71,1169,New York,NY
19102,Pass,3.63,1170,,
10025,Pass,3.54,1171,New York,NY
19380,Pass,3.46,1172,West Manchester Township,PA
10010,Pass,3.38,1173,New York,NY
07086,Pass,3.30,1174,Weehawken Township,NJ
08033,Pass,3.22,1175,Haddonfield,NJ
10005,Pass,3.13,1176,New York,NY
19446,Pass,3.05,1177,Lansdale,PA
08043,Pass,2.97,1178,Voorhees Township,NJ
19462,Pass,2.89,1179,,
10036,Pass,2.80,1180,New York,NY
19335,Pass,2.72,1181,,
19382,Pass,2.64,1182,West Manchester Township,PA
08505,Pass,2.56,1183,Bordentown Township,NJ
08034,Pass,2.47,1184,Cherry Hill Township,NJ
19103,Pass,2.39,1185,,
10003,Pass,2.31,1186,New York,NY
19348,Pass,2.23,1187,,
07030,Pass,2.14,1188,Hoboken,NJ
19460,Pass,2.06,1189,,
08054,Pass,1.98,1190,Mount Laurel Township,NJ
19123,Pass,1.90,1191,,
08108,Pass,1.81,1192,Collingswood,NJ
07950,Pass,1.73,1193,Morris Plains,NJ
08332,Pass,1.65,1194,Millville,NJ
19130,Pass,1.57,1195,,
10001,Pass,1.48,1196,New York,NY
10941,Pass,1.40,1197,Middletown,NY
08053,Pass,1.32,1198,,
10014,Pass,1.24,1199,New York,NY
19047,Pass,1.15,1200,Langhorne Borough,PA
19341,Pass,1.07,1201,,
19118,Pass,0.99,1202,,
10023,Pass,0.91,1203,New York,NY
08540,Pass,0.82,1204,Princeton,NJ
19004,Pass,0.74,1205,,
11201,Pass,0.66,1206,,
19355,Pass,0.58,1207,Malvern,PA
19010,Pass,0.49,1208,,
19106,Pass,0.41,1209,,
10528,Pass,0.33,1210,Harrison Town,NY
19333,Pass,0.25,1211,,
19087,Pass,0.16,1212,Wayne Township,PA
10018,Pass,0.08,1213,New York,NY
